,Study_Group,N-Fixation,P-Solubilization,IAA/Phytohormone,Biocontrol,ACC-Deaminase,Total_PGP
Q4-Root1_S27_L001,Space_Flight,10.482771161014638,6.325368421922654,65.62580069262495,6.325368421922654,10.482771161014638,79.1832315334452
Q4-Root2_S28_L001,Space_Flight,25.286551036380622,21.198464995329346,29.64604004140473,21.198464995329346,25.286551036380622,52.59789441793532
Q4-Root3_S29_L001,Space_Flight,16.19321223368188,8.675636130045323,26.88578803992244,8.675636130045323,16.19321223368188,38.65969570441217
Q4-Root4_S30_L001,Space_Flight,20.563729151707623,4.520724202572394,25.431904814684522,4.520724202572394,20.563729151707623,32.53755222614705
Q4-Stem_S26_L001,Space_Flight,6.11493471549551,18.676183193134506,44.55301592696444,18.676183193134506,6.11493471549551,63.54641666902692
Q4-Water_S36_L001,Space_Flight,40.29170611170836,7.817338703207483,18.628756638801086,7.817338703207483,40.21147890826821,49.48734817001749
Q4-Wick1_S19_L001,Space_Flight,16.451979401826687,34.127897540318415,51.48879347232673,34.127897540318415,16.46747229722751,66.56042966963244
Q4-Wick2_S20_L001,Space_Flight,25.602609088489935,22.778778258421056,53.59275693271201,22.778778258421056,25.615605022619114,77.82460439757656
Q4-Wick3_S21_L001,Space_Flight,14.736700245948587,9.942387385869749,25.299012836494725,9.942387385869749,14.773760991880328,39.6752130992891
Q4-Wick4_S22_L001,Space_Flight,4.495429319058328,0.6584516978647352,2.5252050179150167,0.6430593205120531,4.579232262422931,6.345079997605631
SanSeed1_S25_L001,Space_Flight,0.0,14.410480349344978,14.410480349344978,14.410480349344978,12.663755458515283,14.410480349344978
SanSeed2_S26_L001,Space_Flight,0.0,42.857142857142854,42.857142857142854,42.857142857142854,42.857142857142854,42.857142857142854
SanSeed3_S27_L001,Space_Flight,95.20615996025832,95.75260804769002,1.4157973174366618,95.75260804769002,95.62841530054645,96.62195727769499
Terrestrial_SRR30151802,Terrestrial_Soil,1.1350940698038166,3.4499709523171114,4.442061044822809,5.11239218840774,1.1842516870000448,5.791661080573803
Terrestrial_SRR30151803,Terrestrial_Soil,0.4462242562929062,1.4797864225781847,3.600305110602594,4.054157131960336,0.8352402745995423,4.908466819221968
Terrestrial_SRR30151804,Terrestrial_Soil,0.3104227823328947,1.346290110335054,2.7195735060903603,2.7027027027027026,0.334041907075615,3.0806086985862264
Terrestrial_SRR30151805,Terrestrial_Soil,0.4598771720464534,1.1817096952586081,3.2773525045842185,3.245335739441744,0.5530168524609249,3.745961521669529
Terrestrial_SRR30151806,Terrestrial_Soil,0.46768949980037644,1.1264472708606628,1.9905321393942852,2.001939200365026,0.487651856499173,2.36981691667142
Terrestrial_SRR30151807,Terrestrial_Soil,0.6599929128277817,0.9611977321048901,1.4174344436569808,1.8603827072997876,0.6909992912827781,2.1305811481218995
Terrestrial_SRR30151818,Terrestrial_Soil,1.5125216960079344,3.3033033033033035,3.3170785464363446,4.862660825963578,1.9367991845056065,6.634157092872688
Terrestrial_SRR30151829,Terrestrial_Soil,0.5663990872417587,1.7929179740026893,2.029257161484862,2.4897110957173707,0.8271871561876044,3.129456827350149
Terrestrial_SRR30151830,Terrestrial_Soil,2.06249837649687,30.695898381692082,29.454243187780868,30.98163493259215,2.8885367690988906,32.48824583733798
Terrestrial_SRR30151831,Terrestrial_Soil,1.3337680429176917,4.973472835590859,6.977088828951659,7.148996710038827,1.48492842111503,8.376063309523104
Terrestrial_SRR30151832,Terrestrial_Soil,0.3304631138003258,1.0728415173376775,1.5871538282522692,1.768675820339772,0.4933674656737258,2.1922271352106124
Terrestrial_SRR30151833,Terrestrial_Soil,1.4968976215098244,3.0480868665977248,3.4255429162357807,3.999482936918304,1.520165460186143,4.6328852119958635
Terrestrial_SRR30151834,Terrestrial_Soil,0.3613599348534202,1.730456026058632,2.5956840390879483,2.913782573289902,0.6514657980456026,3.310769543973941
Terrestrial_SRR30151835,Terrestrial_Soil,0.38164577400698707,0.6605407627044007,1.1801661626985291,1.2946598949006252,0.4462319819158618,1.7027272994157885
Terrestrial_SRR30151836,Terrestrial_Soil,0.36868087233643687,0.993563706804974,2.0058738986440043,1.9402612010248077,0.41242267074923444,2.4089233268762107
Terrestrial_SRR30151837,Terrestrial_Soil,0.3878018684999119,1.1759965752562265,1.850872554204125,2.0674372340157636,0.44823852333106695,2.5484122787137067
Terrestrial_SRR30151838,Terrestrial_Soil,0.5132002246846755,0.7149057856303938,1.5651330235408263,1.8664147474850634,0.5387325741714752,2.468978195373538
Terrestrial_SRR30151839,Terrestrial_Soil,0.45731707317073167,0.8204806312769011,1.1163916786226686,1.1119081779053084,0.4797345767575322,1.407819225251076
Terrestrial_SRR30151840,Terrestrial_Soil,0.46489477503628446,1.4196298984034834,1.6373367198838897,2.5036284470246732,0.8753628447024674,2.9390420899854863
Terrestrial_SRR30151841,Terrestrial_Soil,0.6144724430669721,2.350087589273683,3.045411669586309,3.6248484031801644,0.9324888828998787,4.10995822665409
